"pais","n","PIB","felic_pais","direito_h","PIB_log","felic_pais_log"
"Afghanistan",10,1704.69453991886,3.8066143037,-2.1506848894,7.44114121819455,1.3367401598697
"Albania",10,10410.8139973989,4.9887914659,0.825790028,9.25060035234636,1.607193689228
"Algeria",6,13390.2111059956,5.5550035635,0.178053547833333,9.50227920450534,1.71469906458554
"Angola",4,6089.07820708676,4.4202988745,-0.69269703125,8.71425198752129,1.48620731246873
"Argentina",12,18548.3029390644,6.40613063183333,0.569518236916667,9.82813357808578,1.85725544308541
"Armenia",12,7443.42195457593,4.38668306658333,-0.00465732658333333,8.91508596221827,1.4785733758049
"Australia",11,42434.8327686266,7.30908940072727,1.86736050381818,10.6557248315129,1.98911869701837
"Austria",10,44210.7953917666,7.2344094752,1.9342302538,10.6967242778769,1.97884873618562
"Azerbaijan",12,15263.4842193081,4.90270455691667,-0.372747975333333,9.63321860245337,1.58978700323915
"Bahrain",9,42198.925395143,5.86086331466667,-0.206278775888889,10.6501500351298,1.76829691605986
"Bangladesh",12,2689.72149560067,4.70208728316667,-1.44947813541667,7.897192934002,1.54800651293297
"Belarus",12,16134.2286115209,5.57841281091667,-0.00774028441666667,9.68869829494661,1.71890429344373
"Belgium",11,41378.7131415654,7.021655863,2.34507393054545,10.6305218522554,1.94899906814312
"Belize",2,7951.17307944624,6.203145504,0.8651486315,8.98107475392594,1.82505650275279
"Benin",9,1918.63521873764,3.70808047711111,0.716344192888889,7.55936938869282,1.31051435111186
"Bhutan",3,7393.51819676655,5.19659948366667,1.36669490333333,8.90835897599487,1.64800446622307
"Bolivia",12,5801.48647292096,5.73758995516667,0.745025492333333,8.66586945213289,1.74703925372418
"Bosnia and Herzegovina",10,10318.9867938391,5.0060181618,1.1182972464,9.24174085532413,1.61064082100939
"Botswana",10,14597.3487134019,4.1024672746,1.4445156097,9.58859519623359,1.4115885670094
"Brazil",12,14278.381902874,6.713398099,-1.30533733158333,9.5665019173496,1.90410524589454
"Bulgaria",9,16316.9362927342,4.34278644466667,0.842183280777778,9.69995888373426,1.46851618003576
"Burkina Faso",11,1503.85503134486,4.04724994581818,0.137483041727273,7.31578711113062,1.39803762475216
"Burundi",4,773.520979260764,3.4913344385,-1.1616525485,6.65095279215438,1.25028402373487
"Cambodia",12,2819.12675868557,4.10546237225,-0.39762670275,7.94418245593701,1.41231837291949
"Cameroon",12,3067.75970579778,4.49222701775,-0.598023361,8.02870283666806,1.50234857383382
"Canada",12,41961.4256721607,7.44460936383333,2.33546519433333,10.6445060388673,2.00749019516011
"Central African Republic",5,789.389558963924,3.5149543284,-1.7871743418,6.67125993659443,1.2570265318354
"Chad",12,1876.95191724171,3.99134810766667,-0.9268176425,7.53740441944524,1.38412904543167
"Chile",12,20611.9884214786,6.40177861858333,1.10462046666667,9.93362814771104,1.85657586090968
"China",12,10778.4293276592,4.97278996308333,-1.50660763816667,9.28530213140387,1.60398104338587
"Colombia",12,11653.2611677382,6.30702237291667,-1.5322497025,9.36334134838237,1.84166367499037
"Comoros",4,1416.29739663422,3.770586133,1.82827339275,7.25580127807294,1.32723046231955
"Congo",8,5218.18179315058,4.244279563375,-0.563120674625,8.55990430471236,1.44557209119651
"Costa Rica",12,13634.1577044553,7.19769072525,1.45371065333333,9.52033351885416,1.97376024197214
"Cote d'Ivoire",6,3150.08690299404,4.25537256383333,-0.674889096833333,8.0551853196912,1.44818231726003
"Croatia",10,20929.9552542981,5.5494444371,2.3259691077,9.9489366775638,1.71369782132444
"Cyprus",10,32177.1961309477,6.0690005303,1.3740423809,10.3790132859531,1.8031939342322
"Czech Republic",10,29235.2342782007,6.5169306755,2.6268111458,10.2831299141983,1.87440350980709
"Democratic Republic of Congo",8,747.383985786399,4.3484409155,-2.38070108075,6.61657909025828,1.46981737062641
"Denmark",12,45056.8729698176,7.6956792275,2.7989084095,10.7156808145479,2.04065903207635
"Djibouti",1,2705.40558882684,4.369193554,0.214404182,7.90300712045722,1.47457845065887
"Dominican Republic",12,11790.4511905194,5.13638933508333,-0.615637464916667,9.37504526171516,1.63635036863207
"Ecuador",12,9925.83930667438,5.73469400425,0.260663005333333,9.2028966668842,1.74653439331654
"Egypt",12,9656.24540869598,4.59546820316667,-1.31839176383333,9.17536017760519,1.52507064466831
"El Salvador",12,6634.05770264696,5.926820755,0.139192921666667,8.7999719174865,1.77948794023603
"Estonia",11,26328.3024458707,5.48035738681818,2.30475170845455,10.17839977817,1.70117031540608
"Ethiopia",6,1475.36422530863,4.42732691766667,-1.44558521833333,7.29666017070376,1.48779599734531
"Finland",10,40119.7825245526,7.5236002446,3.0288770006,10.5996248214369,2.01804477932554
"France",12,37374.5601822885,6.66467944783333,1.5775356615,10.5287455429258,1.89682185762537
"Gabon",7,16484.4096154143,4.317282847,0.526110395714286,9.71017034142286,1.46262623376918
"Gambia",1,1561.76684287663,4.117938995,0.641877161,7.35357305093319,1.41535279426566
"Georgia",12,7604.89149418527,4.12965633483333,0.322454081416667,8.93654693689736,1.41819419160588
"Germany",12,41997.4005666111,6.76520188641667,2.68239536975,10.645363004079,1.91179210395894
"Ghana",12,3414.13280270427,4.74972951425,0.153153345916667,8.13567880204254,1.55808767205674
"Greece",11,26552.6790409929,5.50451512763636,0.678577998,10.1868859270783,1.70556868775533
"Guatemala",12,6943.19233295281,6.22132456308333,0.131933989333333,8.84551693807675,1.82798283634417
"Guinea",7,1772.5489242167,3.855952944,-0.191992173285714,7.48017385984014,1.34961817335434
"Guyana",1,5308.38798486525,5.992826462,0.414691031,8.57704348714128,1.79056316427388
"Haiti",10,1605.09096611781,3.9881201982,0.1482207813,7.38093571066697,1.3833199916153
"Honduras",12,4139.51688892715,5.30493636925,-0.456627584916667,8.32833436651429,1.66863777750768
"Hungary",11,23702.8030176442,5.12017254390909,1.24514255463636,10.0733485909165,1.63318813846583
"Iceland",6,43281.3879087837,7.41077629716667,4.92527553866667,10.6754779811389,2.00293519727098
"India",12,4796.7576131256,4.65051953,-1.75700964841667,8.47569547137941,1.53697894024
"Indonesia",12,9073.4992742385,5.20839035516667,-0.5959519445,9.11311327622814,1.65027085508642
"Iran",10,17234.8349060033,4.909125805,-1.5111266137,9.75468789990905,1.59109588216657
"Iraq",10,14216.2911337776,4.6450331212,-2.1891104125,9.56214384892822,1.5357985027463
"Ireland",11,50666.2847008671,7.06332757254545,2.41419785290909,10.8330159723332,1.95491626802122
"Israel",12,30496.4822867361,7.23519027233333,-1.43407483066667,10.3253666210828,1.97895665860887
"Italy",12,35833.3452021756,6.23578715325,1.09947257583333,10.4866341691052,1.83030481867749
"Jamaica",5,8194.9803363335,5.698302555,-0.3967863514,9.01127709170385,1.74016833312164
"Japan",12,36708.0924239898,6.03537086625,2.080904303,10.5107525117517,1.79763730522971
"Jordan",12,9000.43939117339,5.42106966166667,-0.238244040916667,9.10502867636812,1.69029315053075
"Kazakhstan",12,21303.4102992283,5.72036520633333,-0.209487677,9.9666224468266,1.74403265061463
"Kenya",12,2600.71084470578,4.35187238458333,-1.09514892175,7.86354008845202,1.47060618572833
"Kuwait",10,75623.4101116815,6.2905039786,0.7762470933,11.2335211717955,1.83904119128639
"Kyrgyzstan",12,2955.70711082067,5.02634282908333,-0.2914313755,7.99149319421611,1.61469264791398
"Laos",6,4377.95318425215,4.9478591285,0.445200436833333,8.38433658461589,1.59895498373287
"Latvia",11,21625.6483460548,5.26184944663636,1.54954612772727,9.9816353126711,1.66048257077518
"Lebanon",12,14193.5047029294,5.04585301883333,-0.20968997475,9.56053972365641,1.61856672154123
"Lesotho",3,2695.84084008024,4.16700681033333,0.415236378,7.89946543471098,1.42719798678823
"Liberia",7,732.546044598195,3.88157081614286,0.553295574714286,6.59652619843537,1.35623992122708
"Libya",4,17995.8841500863,5.61255860325,-1.84733295625,9.79789835240346,1.72500669457288
"Lithuania",12,24233.0694174637,5.71867986541667,1.86952601941667,10.0954734841806,1.74373798599564
"Luxembourg",9,92216.8260913518,6.98587767277778,5.121689089,11.4318978884622,1.9438906358932
"Macedonia",10,11916.0780218622,4.8584868908,0.8023351215,9.38564386146718,1.58072705009468
"Madagascar",9,1400.60400204999,3.93081219988889,-0.271252716666667,7.24465885259988,1.36884607116696
"Malawi",10,1026.97371004172,4.1453634978,0.2725662698,6.93437161080997,1.42199048023077
"Malaysia",10,21797.8304717603,5.8778280257,0.2423683657,9.98956572418075,1.77118731028733
"Mali",11,1867.26722457785,4.16713285436364,-0.218181158,7.53223126376437,1.42722823442875
"Malta",9,31244.375800324,6.32567220255556,2.57846201833333,10.3495946645776,1.84461630605046
"Mauritania",11,3476.41175179286,4.44387804372727,0.126432106727273,8.15375593500658,1.49152742849517
"Mauritius",4,18669.4687503161,5.72724354275,0.98907487575,9.83464478140763,1.74523435786986
"Mexico",12,16357.5991483586,6.7935931285,-1.23739936641667,9.70244784806489,1.91597998105961
"Moldova",12,4252.82462552318,5.57547799741667,0.347192433583333,8.35533865892804,1.7183780531177
"Mongolia",10,9769.30333645235,4.8715250015,0.489076182,9.1870004360924,1.58340703006756
"Montenegro",10,14664.6297652996,5.2295095445,1.33449965,9.59319373494896,1.65431749633721
"Morocco",7,6998.11217327833,5.06314059657143,0.01487431,8.85339570213302,1.62198696202181
"Mozambique",6,947.456953109107,4.6469733715,-0.201315768666667,6.85378150384969,1.53621611983034
"Myanmar",6,4888.35244694274,4.40036090216667,-2.18232613433333,8.49461060278204,1.48168656078019
"Namibia",3,9085.58536739556,4.63362820933333,1.21812930233333,9.1144444110491,1.53334019174561
"Nepal",12,2070.98481267839,4.60774153491667,-0.608324541666667,7.63577952804102,1.52773783130758
"Netherlands",11,46115.3052887044,7.46684351827273,3.39650908718182,10.7389001758085,2.01047235539534
"New Zealand",11,33630.9324904592,7.31921984918182,3.26957398681818,10.4232015322851,1.99050374431276
"Nicaragua",12,4449.80985437448,5.5701702435,0.198672994416667,8.40061664489331,1.71742561783477
"Niger",12,846.384881980251,4.11593014,-0.145266852416667,6.74097419938999,1.41486484503865
"Nigeria",10,5095.38626532054,5.006445551,-1.9398856355,8.53609075540744,1.61072619244494
"Norway",7,63975.8436457525,7.56417540128571,3.96309476871429,11.0662608480571,2.02342333948633
"Oman",1,42121.4319219198,6.852982044,1.059049426,10.648311961917,1.9246838924339
"Pakistan",12,4455.66495577026,5.28994850325,-2.06399216441667,8.40193158932115,1.66580851108748
"Panama",12,17664.3628201994,6.76705451808333,1.65609630375,9.77930448895868,1.91206591368037
"Paraguay",12,7623.69265583639,5.55136231575,0.421583956416667,8.93901613180325,1.7140433599347
"Peru",12,10480.464653337,5.55332394416667,0.314393843083333,9.25726829404265,1.71439665734287
"Philippines",12,6050.78125914899,5.08433226741667,-1.77340065566667,8.70794267643148,1.62616370670238
"Poland",11,22909.4404197525,5.86557466345455,1.66400686336364,10.0393043499966,1.76910045913921
"Portugal",10,26771.9733130718,5.2954301358,1.449162246,10.1951108473977,1.66684421008832
"Qatar",5,123321.424579033,6.5689818382,1.7335436232,11.722549433823,1.88235884913258
"Romania",11,18892.4685455889,5.41395274081818,0.674938802636364,9.84651863197825,1.6889794620846
"Russia",12,23917.1719727922,5.53010408091667,-1.49136643166667,10.0823519725128,1.71020663649938
"Rwanda",10,1519.99349957274,3.7024477004,-0.2951525286,7.3264613372343,1.30899414157727
"Saudi Arabia",12,47926.7785792424,6.54964605966667,-0.788165003583333,10.7774296789465,1.87941101149501
"Senegal",12,2221.77580042799,4.32731264825,0.347784233583333,7.70606206521144,1.46494671383237
"Sierra Leone",10,1321.32522253487,4.1591558219,0.5180406121,7.18639046841898,1.42531212625273
"Singapore",11,74589.9485931209,6.52750448736364,1.80474342381818,11.2197610397563,1.87602470904608
"Slovakia",9,26718.5716549491,5.97434271711111,1.68052667677778,10.1931141701944,1.78747408626211
"Slovenia",10,28870.9834395766,5.9320420742,2.9713399819,10.2705923364889,1.78036851700171
"South Africa",12,12048.3076875018,4.85249259083333,-0.811507616833333,9.39667948818484,1.57949250918368
"South Korea",12,31367.5254076469,5.88228968783333,1.31920521991667,10.3535284140326,1.77194608880573
"South Sudan",3,1793.71593720434,3.59695863733333,-2.536834113,7.49204468961576,1.28008866543506
"Spain",12,32624.2380428305,6.51446914675,1.23122726508333,10.3928107893432,1.87402572556091
"Sri Lanka",11,9206.32700366006,4.30541231409091,-1.52491470945455,9.12764624445675,1.45987290892437
"Sudan",5,3724.27842617053,4.378741169,-2.7864228506,8.22262840095408,1.47676127874191
"Suriname",1,15132.2526091695,6.269286633,1.234205592,9.62458367932026,1.83566257353086
"Swaziland",1,7323.99766548019,4.867091179,-0.194273516,8.89891158704506,1.58249646480364
"Sweden",12,43871.158095245,7.37130677708333,2.60173261091667,10.6890123921534,1.99759500080701
"Switzerland",7,56400.1633619005,7.53871944985714,1.962725403,10.9402273339696,2.02005233335994
"Tajikistan",12,2301.56398604723,4.81196614116667,-0.219995174166667,7.7413441647597,1.5711057617549
"Tanzania",12,2232.21272975245,3.71569987125,-0.00714002925,7.71074862798846,1.31256705107246
"Thailand",12,14027.3883562402,6.116064469,-1.38739017058333,9.54876700867278,1.81091882905115
"Togo",7,1299.84011200229,3.399021353,0.410497550142857,7.16999654511817,1.22348755283605
"Trinidad and Tobago",5,30581.9642200372,6.2813890456,0.6574514642,10.3281657095994,1.83759114162727
"Tunisia",9,10542.1880077271,4.80917909411111,0.000903501222222221,9.2631403914173,1.57052640304752
"Turkey",12,20255.0440210696,5.30504731341667,-1.11331666591667,9.91615912897778,1.66865869067211
"Turkmenistan",8,13411.8648325586,5.738762199875,-0.471629667125,9.503895029438,1.74724354245575
"Uganda",12,1552.37583678695,4.22075927241667,-0.827819261083333,7.34754183430466,1.44001503423745
"Ukraine",12,8048.54038624384,4.73980204258333,-0.637404473,8.9932460354934,1.55599537166681
"United Arab Emirates",10,65107.2005819776,6.8633781434,0.6207075575,11.0837904300981,1.92619976125751
"United Kingdom",12,37742.4999415908,6.88142502316667,1.77589579691667,10.5385420578943,1.92882575595801
"United States",12,51149.7028630944,7.12479893358333,0.142625257583333,10.8425119622347,1.96358150590857
"Uruguay",12,17671.9745889332,6.22059810175,2.55647139,9.77973530717074,1.82786605996584
"Uzbekistan",11,4814.5672604147,5.72121633181818,-0.568380421636364,8.47940144696695,1.74418142820863
"Venezuela",9,16851.5574711135,6.77278396844444,-0.971812824333333,9.73219836302907,1.91291222373182
"Vietnam",12,4779.30126072332,5.29326796525,-0.275200288333333,8.4720496350352,1.6664358179405
"Yemen",9,3552.19894298461,4.04861134944444,-1.68606630566667,8.17532211126677,1.39837394564241
"Zambia",11,3304.19864222099,4.68537987354545,-0.247056413727273,8.10294925457122,1.54444699533727
"Zimbabwe",12,1682.89075235346,4.06421126916667,-1.1478225545,7.42826827963795,1.40221969444827
